name,rating,ctype,highly_rated
PepsiCo,4.0,Food Processing,"Company Culture, Work Life Balance, Job Security"
Mankind Pharma,3.8,Pharma,Salary
Titan Company,4.2,Retail,"Company Culture, Job Security, Work Life Balance"
Ola Electric Mobility,3.3,Automobile,"Job Security, Promotions, Company Culture"
IDFC FIRST Bharat,4.1,Financial Services,"Work Life Balance, Skill Development, Company Culture"
ESAF Small Finance Bank,3.6,Banking,"Promotions, Work Satisfaction, Company Culture"
Quest Global,3.5,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
Amazon Transportation Services,4.2,Logistics,"Company Culture, Skill Development, Salary"
MSN Laboratories,3.6,Pharma,Job Security
Dilip Buildcon,3.9,Engineering & Construction,Salary
Varroc Group,3.6,Auto Components,"Promotions, Job Security, Company Culture"
Bharat Financial Inclusion,3.7,Financial Services,Salary
Ambuja Cements,3.9,Building Material,"Promotions, Job Security"
Societe Generale Global Solution Centre,3.6,IT Services & Consulting,"Work Life Balance, Job Security"
S&P Global,3.9,Analytics & KPO,"Work Life Balance, Company Culture"
Afcons Infrastructure,4.2,Engineering & Construction,"Job Security, Skill Development, Company Culture"
Walmart,3.5,Retail,"Promotions, Work Satisfaction, Job Security"
DS Group,4.0,FMCG,"Work Life Balance, Job Security, Salary"
Torrent Pharmaceuticals,4.0,Pharma,"Job Security, Work Life Balance, Company Culture"
Suzlon Group,4.0,Power,"Job Security, Skill Development, Company Culture"
Allcargo Logistics,3.8,Logistics,Work Life Balance
Eternal Limited,3.5,Internet,"Job Security, Promotions, Work Life Balance"
Indus Towers,3.6,Telecom,"Promotions, Job Security, Work Life Balance"
Tata Elxsi,3.4,IT Services & Consulting,"Promotions, Salary, Work Satisfaction"
Zensar Technologies,3.5,IT Services & Consulting,"Promotions, Job Security, Work Satisfaction"
VVDN Technologies,3.6,IT Services & Consulting,"Promotions, Salary, Company Culture"
Yazaki,3.8,Auto Components,Job Security
IKS Health,3.5,BPO,"Promotions, Salary, Work Satisfaction"
HDFC Sales,3.9,Financial Services,"Skill Development, Company Culture, Work Life Balance"
Exl India,3.5,Logistics,Job Security
I Process Services,3.8,Recruitment,Work Life Balance
Shree Cement,3.7,Building Material,"Promotions, Job Security, Company Culture"
Fujitsu,3.8,IT Services & Consulting,Work Life Balance
Physicswallah,3.6,EdTech,"Promotions, Job Security, Work Satisfaction"
Marpu Foundation,4.9,Non-Profit,"Company Culture, Work Life Balance, Work Satisfaction"
Foxconn,3.8,Electronics Manufacturing,Job Security
ACC,3.9,Building Material,"Promotions, Job Security"
Square Yards,3.5,Internet,"Job Security, Company Culture, Work Life Balance"
Nokia,4.0,Telecom,"Work Life Balance, Company Culture"
CMS IT Services,3.0,IT Services & Consulting,"Promotions, Salary, Company Culture"
Shoppers Stop,3.9,Retail,"Company Culture, Work Life Balance, Job Security"
Apollo Tyres,4.0,Auto Components,"Company Culture, Work Life Balance, Work Satisfaction"
Future Group,4.3,Retail,"Skill Development, Company Culture, Work Life Balance"
Fiserv,2.7,FinTech,"Promotions, Job Security, Company Culture"
Britannia,3.9,Hospitality,"Job Security, Skill Development"
Star Health & Allied Insurance,3.5,Insurance,"Promotions, Company Culture, Work Satisfaction"
Landmark Group,3.8,Retail,Job Security
SRF,4.1,Chemicals,"Job Security, Salary, Work Life Balance"
Kansai Nerolac Paints,3.8,Chemicals,Promotions
Dalmia Bharat Cement,3.9,Building Material,"Job Security, Salary"
Blue Dart Express Ltd,3.9,Logistics,"Job Security, Company Culture, Work Life Balance"
ZS,3.0,Management Consulting,"Work Life Balance, Work Satisfaction, Company Culture"
Nestlé,3.7,FMCG,Salary
Exide Industries,3.4,Electrical Equipment,"Promotions, Company Culture, Work Satisfaction"
Tata Advanced Systems,3.7,Defence & Aerospace,Job Security
Dalmia Bharat Cement,,Building Material,"Job Security, Salary"
Gallagher,3.6,Insurance,"Job Security, Work Life Balance"
Blue Star,4.0,Consumer Electronics & Appliances,"Company Culture, Skill Development, Work Life Balance"
TVS Supply Chain Solutions,3.7,Logistics,"Promotions, Salary"
Photon Interactive,4.1,IT Services & Consulting,"Salary, Work Satisfaction, Skill Development"
Care Health Insurance,3.5,Insurance,"Promotions, Salary, Company Culture"
Micro Labs,3.6,Pharma,Job Security
Shell,3.8,Oil & Gas,"Work Life Balance, Company Culture, Salary"
